timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721396752507,7,/d/msdownload/update/others/2024/07/41623399_3888eb72316f1ef27aaf271591519654e490159f.cab-5,200,OK,,text,true,,7525,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623399_3888eb72316f1ef27aaf271591519654e490159f.cab,7,0,2
1721396752525,6,/d/msdownload/update/others/2024/07/41623398_9c2f9b9a563ee0866bc9e4e30b9c22985afefb39.cab-6,200,OK,,text,true,,7525,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623398_9c2f9b9a563ee0866bc9e4e30b9c22985afefb39.cab,6,0,3
1721396752540,5,/d/msdownload/update/others/2024/07/41623397_fa03d57cc4ff6067e3cc4c95eafb2f4d509313c8.cab-7,200,OK,,text,true,,7525,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623397_fa03d57cc4ff6067e3cc4c95eafb2f4d509313c8.cab,5,0,2
1721396752554,6,/d/msdownload/update/others/2024/07/41623396_717ab17c6538b2100d97fdeaa1ce1b8a05f32d82.cab-8,200,OK,,text,true,,7521,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623396_717ab17c6538b2100d97fdeaa1ce1b8a05f32d82.cab,6,0,3
1721396752578,6,/d/msdownload/update/others/2024/07/41623395_59e0c6c61fc86dd868d7373d67333b374ae6e2d2.cab-9,200,OK,,text,true,,7527,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623395_59e0c6c61fc86dd868d7373d67333b374ae6e2d2.cab,5,0,2
1721396752607,14,/d/msdownload/update/others/2024/07/41623394_dd924ab3ee168639adc1d39a8a8b32b1be19df87.cab-10,200,OK,,text,true,,7527,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623394_dd924ab3ee168639adc1d39a8a8b32b1be19df87.cab,14,0,11
1721396752641,6,/d/msdownload/update/others/2024/07/41623393_0f53c8a0a6abb6d3c31af07d36eb375225e1747b.cab-11,200,OK,,text,true,,7521,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623393_0f53c8a0a6abb6d3c31af07d36eb375225e1747b.cab,6,0,3
1721396752656,8,/d/msdownload/update/others/2024/07/41623392_6afa1450555109a3dd4d999e9be5635270ddb31e.cab-12,200,OK,,text,true,,7531,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623392_6afa1450555109a3dd4d999e9be5635270ddb31e.cab,8,0,4
1721396752696,6,/d/msdownload/update/others/2024/07/41623391_0a5a38a1f12db2bb4af526d5cf9bf95f0f746992.cab-13,200,OK,,text,true,,7520,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623391_0a5a38a1f12db2bb4af526d5cf9bf95f0f746992.cab,6,0,3
1721396752712,6,/d/msdownload/update/others/2024/07/41623390_bc01283ccc1e39227c6561d7c6204f395cc53102.cab-14,200,OK,,text,true,,7520,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623390_bc01283ccc1e39227c6561d7c6204f395cc53102.cab,6,0,3
